STA,Station Name,River Basin,County,lon_X,lat_Y,Elev_ft,Operator,Flow_EH_2
VIN,SACRAMENTO RIVER AT VINA BRIDGE-MAIN CH,SACRAMENTO R,TEHAMA,-122.0924683,39.90873718,185,CA Dept of Water Resources,E
VNO,SACRAMENTO R AT VINA EAST BANK O/F,SACRAMENTO R,TEHAMA,-122.0924683,39.90873718,185,"CA Dept of Water Resources, Northern District",E
VNS,SAN JOAQUIN RIVER NEAR VERNALIS,SAN JOAQUIN R,SAN JOAQUIN,-121.2663269,37.67604065,35,USGS and DWR,E
VON,SACRAMENTO RIVER AT VERONA,SACRAMENTO R,SUTTER,-121.5982895,38.7743454,43,USGS and DWR,E
WCD,WILLOW CREEK NEAR STANDISH,SURPRISE VALLEY,LASSEN,-120.4349976,40.38116837,4030,CA Dept of Water Resources,E
WCI,WEST CANAL AT CLIFTON COURT INTAKE,SAN JOAQUIN R,CONTRA COSTA,-121.554,37.8316,0,CA Dept of Water Resources/NCRO,E
WFR,WEST BRANCH FEATHER RIVER NEAR MAGALIA,FEATHER R,BUTTE,-121.5711823,39.81398392,1380,CA Dept of Water Resources,E
WLK,SACRAMENTO RIVER BELOW WILKINS SLOUGH,SACRAMENTO R,SUTTER,-121.8246918,39.00989532,30,US Geological Survey,E
WSL,WILLOW SLOUGH AT SB WEST BURROW PIT,SACRAMENTO R,SUTTER,-121.6275558,38.91458893,28,CA Dept of Water Resources,E
YBY,YOLO BYPASS NEAR WOODLAND,SACRAMENTO R,YOLO,-121.6441269,38.67768097,-3,US Geological Survey,E
YRS,YUBA RIVER NEAR SMARTVILLE,YUBA R,YUBA,-121.2741241,39.23517227,280,Pacific Gas & Electric,E
AMK,AMERICAN SF NR KYBURZ,AMERICAN R,EL DORADO,-120.325,38.764,3840,US Geological Survey,H
AMW,KINGS RIVER BELOW ARMY WEIR,KINGS R,KINGS,-119.787,36.386,230,US Army Corps of Engineers,H
ARC,MAD RIVER NEAR ARCATA,MAD R,HUMBOLDT,-124.0606155,40.90985107,33,USGS and DWR,H
BAT,BATTLE CREEK,SACRAMENTO R,TEHAMA,-122.1463852,40.39820862,200,USGS and DWR,H
BBW,BW-12 IMPORT TO BUTTE CREEK,BUTTE CR,BUTTE,-121.6103287,39.88573074,2882,CA Dept of Water Resources,H
BCC,BLACK CREEK NR COPPEROPOLIS,STANISLAUS R,CALAVERAS,-120.6152039,37.96103668,746,US Geological Survey,H
BCD,BUTTE CREEK NR DURHAM,BUTTE CR,BUTTE,-121.7774811,39.67801285,190,CA Dept of Water Resources,H
BCK,BUTTE CREEK NR CHICO,BUTTE CR,BUTTE,-121.7088623,39.72599411,300,US Geological Survey,H
BIC,BIG CHICO CREEK NEAR CHICO,SACRAMENTO R,BUTTE,-121.7786026,39.76841736,274,CA Dept of Water Resources,H
BND,SACRAMENTO RIVER AT BEND BRIDGE,SACRAMENTO R,TEHAMA,-122.1866608,40.28848648,286,USGS and DWR,H
BNF,NORTH FORK BATTLE CREEK NEAR MANTON,SACRAMENTO R,TEHAMA,-121.9869461,40.42433167,998,CA Dept of Water Resources,H
BPD,PARROT DIV FROM BUTTE CREEK,BUTTE CR,BUTTE,-121.7541885,39.70890427,269,CA Dept of Water Resources,H
BRA,SALINAS RIVER NEAR BRADLEY,SALINAS R,MONTEREY,-120.8687897,35.93024445,443,USGS and DWR,H
BRE,BEAR R AT ROLLINS RESERVOIR,BEAR R,PLACER,-120.953,39.133,1945,"Pacific Gas and Electric Company, Auburn",H
BRI,VAN DUZEN R NR BRIDGEVILLE AT GRIZZLY CR,VAN DUZEN R,HUMBOLDT,-123.8908768,40.48041534,358,USGS and DWR,H
BSL,BUTTE SLOUGH NR MERIDIAN,SACRAMENTO R,SUTTER,-121.9016495,39.17147446,13,CA Dept of Water Resources,H
BTC,SACRAMENTO RIVER AT BUTTE CITY,SACRAMENTO R,GLENN,-121.9941635,39.45783997,99,CA Dept of Water Resources,H
CBP,CHOWCHILLA BYPASS,SAN JOAQUIN R,MADERA,-120.285,36.774,170,San Luis Delta-Mendota Water Authority,H
CBR,AMERICAN RIVER AT CHILI BAR,AMERICAN R,EL DORADO,-120.816,38.772,931,"Pacific Gas and Electric Company, Auburn",H
CBV,CHERRY CK BL VALLEY DAM NR HETCH HETCHY,TUOLUMNE R,TUOLUMNE,-119.9174042,37.96770096,4337,US Geological Survey,H
CCY,CACHE CREEK AT YOLO,CACHE CR,YOLO,-121.8071899,38.72712708,86,US Geological Survey,H
CDR,COLUSA DRAIN NR HWY 20,SACRAMENTO R,COLUSA,-122.0605164,39.19551086,60,CA Dept of Water Resources,H
CHT,PAJARO RIVER AT CHITTENDEN,PAJARO R,SANTA CRUZ,-121.5977249,36.90023041,82,USGS and DWR,H
CLV,RUSSIAN RIVER AT CLOVERDALE,RUSSIAN R,MENDOCINO,-123.0536118,38.87934875,107,CA Dept of Water Resources,H
CLW,SACTO R AT COLUSA WEIR (CREST 61.8'),SACRAMENTO R,COLUSA,-121.9947586,39.23682022,70,CA Dept of Water Resources,H
COL,SACRAMENTO RIVER AT COLUSA,SACRAMENTO R,COLUSA,-122.0002518,39.21405792,-3,USGS and DWR,H
COW,COW CREEK NEAR MILLVILLE,SACRAMENTO R,SHASTA,-122.2330551,40.50487518,385,USGS and DWR,H
CSW,KINGS RIVER BELOW CRESCENT WEIR,KINGS R,KINGS,-119.876,36.387,215,US Army Corps of Engineers,H
CTK,COTTONWOOD CREEK NEAR FRIANT,SAN JOAQUIN R,MADERA,-119.696,36.967,300,US Bureau of Reclamation,H
DCS,DEER CREEK NR SMARTVILLE,YUBA R,NEVADA,-121.2685699,39.22433853,630,US Geological Survey,H
DCV,DEER CREEK NR VINA,SACRAMENTO R,TEHAMA,-121.9483185,40.01404572,479,US Geological Survey,H
DLT,SACRAMENTO RIVER AT DELTA,SACRAMENTO R,SHASTA,-122.4172363,40.93959427,1075,US Geological Survey & US Bureau of Reclamation,H
DRY,DRY CREEK NEAR HEALDSBURG,RUSSIAN R,SONOMA,-122.8622131,38.58740997,90,CA Dept of Water Resources,H
DVD,DEER CREEK BELOW STANFORD VINA DAM,SACRAMENTO R,TEHAMA,-122.0343628,39.96361542,335,CA Dept of Water Resources,H
EDT,LAKE ELEANOR DIV TUNNEL,TUOLUMNE R,TUOLUMNE,-119.881,37.98,4620,US Geological Survey,H
ELN,EASTSIDE BYPASS NEAR EL NIDO,SAN JOAQUIN R,MERCED,-120.6053,37.1475,100,CA Dept of Water Resources,H
EST,ESTRELLA RIVER NEAR ESTRELLA,SALINAS R,SAN LUIS OBISPO,-120.639,35.717,672,USGS and DWR,H
EVA,EEL RIVER BELOW VAN ARSDALE DAM 24HR AVG,EEL R,MENDOCINO,-123.115,39.3886,1400,Pacific Gas & Electric,H
F56,NF FEATHER R BL GRIZZLY CREEK,FEATHER R,BUTTE,-121.391388,39.852501,1465,Pacific Gas & Electric,H
F57,NF FEATHER R BL ROCK CREEK DIV DAM,FEATHER R,PLUMAS,-121.275833,39.979721,2080,Pacific Gas & Electric,H
FBL,FEATHER RIVER AT BOYD'S LANDING,FEATHER R,SUTTER,-121.611,39.045,50,Sutter County,H
FHH,FALLS CK NR HETCH HETCHY,TUOLUMNE R,TUOLUMNE,-119.7633,37.9708,5350,City and County of San Francisco PUC,H
FPT,SACRAMENTO RIVER AT FREEPORT,SACRAMENTO R,SACRAMENTO,-121.5,38.45,0,US Geological Survey,H
FRE,SACTO R AT FREMONT WEIR (CREST 33.5'),SACRAMENTO R,YOLO,-121.666389,38.759445,40,CA Dept of Water Resources/NCRO,H
FSW,EEL RIVER AT FORT SEWARD,EEL R,HUMBOLDT,-123.6325302,40.21820068,320,USGS and DWR,H
GRF,SAN JOAQUIN RIVER AT GRAVELLY FORD,SAN JOAQUIN R,FRESNO,-120.16,36.798,170,US Bureau of Reclamation,H
GRL,FEATHER RIVER NEAR GRIDLEY,FEATHER R,BUTTE,-121.6475,39.3667,92,CA Dept of Water Resources/O & M,H
HAC,RUSSIAN RIVER NEAR HACIENDA BRIDGE,RUSSIAN R,SONOMA,-122.9277725,38.50852203,20,USGS and DWR,H
HEA,RUSSIAN RIVER NEAR HEALDSBURG,RUSSIAN R,SONOMA,-122.83638,38.6132431,108,USGS and DWR,H
HIB,MERCED R AT HAPPY ISLES BR NR YOSEMITE,MERCED R,MARIPOSA,-119.5587769,37.73159409,4016,US Geological Survey,H
HMC,SACRAMENTO R AT HAMILTON CITY-MAIN CH,SACRAMENTO R,GLENN,-121.997879,39.75092316,145,CA Dept of Water Resources/O & M,H
HOP,RUSSIAN RIVER NEAR HOPLAND,RUSSIAN R,MENDOCINO,-123.1305618,39.02656174,498,USGS/USACE,H
HPA,TRINITY RIVER AT HOOPA,TRINITY R,HUMBOLDT,-123.6736679,41.04985046,330,USGS and DWR,H
IGO,CLEAR CREEK NR IGO,SACRAMENTO R,SHASTA,-122.5241776,40.51320648,673,US Geological Survey,H
INV,INDIAN VALLEY,CACHE CR,LAKE,-122.533,39.083,1502,Yolo County Flood Control and Water Consv Dist,H
IST,SACRAMENTO RIVER AT I STREET BRIDGE,SACRAMENTO R,SACRAMENTO,-121.504,38.589,27,CA Dept of Water Resources/NCRO,H
JBP,JAMES BYPASS,SAN JOAQUIN R,FRESNO,-120.18,36.653,170,San Luis Delta-Mendota Water Authority,H
JBR,YUBA RIVER AT JONES BAR,YUBA R,NEVADA,-121.104,39.292,1060,Yuba County,H
JED,SMITH R NR CRESCENT CITY (JED SMITH SP),SMITH R,DEL NORTE,-124.0761871,41.79150391,120,USGS and DWR,H
KKV,KERN R AT KERNVILLE,KERN R,KERN,-118.4225,35.7544,2635,US Army Corps of Engineers,H
KNK,KLAMATH RIVER NEAR KLAMATH,KLAMATH R,DEL NORTE,-123.9795151,41.51095581,60,US Geological Survey,H
KWK,KESWICK (WATER QUALITY),SACRAMENTO R,SHASTA,-122.444458,40.60098267,596,CA Dept of Water Resources,H
LCB,OREGON CREEK BELOW LOG CABIN,YUBA R,YUBA,-121.058,39.445,1913,Yuba County,H
LCV,DRY CREEK NEAR LEMONCOVE,KAWEAH R,TULARE,-119.0284,36.4504,589,US Army Corps of Engineers,H
LDC,LITTLE DRY CREEK (USBR),SAN JOAQUIN R,FRESNO,-119.683,36.942,350,US Bureau of Reclamation,H
LEG,SOUTH FORK EEL RIVER AT LEGGETT,EEL R,MENDOCINO,-123.7205811,39.87459564,747,USGS and DWR,H
LGC,LOS GATOS CREEK NEAR COALINGA,LOS GATOS CR (NEAR COALINGA),FRESNO,-120.4707108,36.2146759,1080,US Geological Survey,H
LGN,TUOLUMNE R BLW LA GRANGE DAM NR LA GRANG,TUOLUMNE R,STANISLAUS,-120.4421387,37.6663208,170,US Geological Survey,H
LON,LOON LAKE (SMUD),AMERICAN R,EL DORADO,-120.323,38.983,6410,Sacramento Municipal Utility District,H
LWS,LEWISTON (WATER QUALITY),TRINITY R,TRINITY,-122.8036346,40.71931076,1830,US Geological Survey & US Bureau of Reclamation,H
M11,NF MOKELUMNE R BL SALT SPRINGS DAM,MOKELUMNE R,CALAVERAS,-120.220001,38.49361,3590,Pacific Gas & Electric,H
M38,NF MOKELUMNE R AB TIGER CREEK,MOKELUMNE R,AMADOR,-120.489166,38.446667,2338,Pacific Gas & Electric,H
M46,NF MOKELUMNE R BL ELECTRA DIVERSION,MOKELUMNE R,AMADOR,-120.548889,38.420834,1980,Pacific Gas & Electric,H
MBB,MERCED RIVER NEAR BRICEBURG,MERCED R,MARIPOSA,-119.9781,37.5989,1150,Merced Irrigation District,H
MBT,NF MOKELUMNE R BL TIGER CREEK AFTERBAY,MOKELUMNE R,AMADOR,-120.503891,38.440277,2220,Pacific Gas & Electric,H
MCK,BEAR CREEK AT MC KEE ROAD,SAN JOAQUIN R,MERCED,-120.4456,37.3092,167,US Army Corps of Engineers,H
MDM,MIDDLE RIVER AT MIDDLE RIVER,DELTA,SAN JOAQUIN,-121.534,37.943,10,US Geological Survey,H
MEN,SAN JOAQUIN RIVER NEAR MENDOTA,SAN JOAQUIN R,FRESNO,-120.3782272,36.81050491,170,US Geological Survey,H
MER,FEATHER RIVER AT MERRIMAC,FEATHER R,BUTTE,-121.27,39.709,1560,CA Dept of Water Resources/O & M,H
MHB,COSUMNES RIVER AT MICHIGAN BAR,COSUMNES R,SACRAMENTO,-121.0452194,38.50018692,168,USGS and DWR,H
MID,MID CANAL AT LA GRANGE,TUOLUMNE R,STANISLAUS,-120.443,37.672,296,Modesto Irrigation District,H
MLW,SACTO R AT MOULTON WEIR (CREST 76.8'),SACRAMENTO R,COLUSA,-122.0226288,39.33821106,85,CA Dept of Water Resources,H
MMF,MERCED RIVER BELOW MERCED FALLS,MERCED R,MERCED,-120.331,37.522,310,Merced Irrigation District,H
MRD,EEL RIVER SF NR MIRANDA (AT SYLVANDALE),EEL R,HUMBOLDT,-123.7761459,40.18180847,218,USGS and DWR,H
MRS,MORMON SLOUGH AT BELLOTA (USACE),CALAVERAS R,CALAVERAS,-121.012,38.054,130,US Army Corps of Engineers,H
MSG,MUD SLOUGH NR GUSTINE,SAN JOAQUIN R,MERCED,-120.9056,37.2625,70,US Geological Survey,H
MSS,MCCLOUD RIVER ABOVE SHASTA LAKE,MC CLOUD R,SHASTA,-122.219,40.958,1100,Pacific Gas & Electric,H
MST,MERCED RIVER NEAR STEVINSON,MERCED R,MERCED,-120.931,37.371,82,CA Dept of Water Resources/SJ District,H
MTK,MARTIS CK NR TRUCKEE,TRUCKEE R,NEVADA,-120.1176987,39.32879639,5730,US Army Corps of Engineers,H
MTO,MF TUOLUMNE R NR OAKLAND REC CAMP,TUOLUMNE R,TUOLUMNE,-120.1081,37.8283,2800,City of San Francisco,H
NAP,NAPA RIVER NEAR NAPA,NAPA R,NAPA,-122.3033066,38.36824417,25,USGS and DWR,H
NEW,SAN JOAQUIN RIVER NEAR NEWMAN,SAN JOAQUIN R,MERCED,-120.97715,37.35049438,90,USGS and DWR,H
NFP,NORTH FORK FEATHER RIVER AT PULGA,FEATHER R,BUTTE,-121.451,39.794,1305,Pacific Gas & Electric,H
NRN,NAVARRO RIVER NEAR NAVARRO,NAVARRO RIVER,MENDOCINO,-123.6680679,39.17045593,5,US Geological Survey,H
NSL,NATIONAL STEEL,SACRAMENTO R,SOLANO,-121.8881,38.1221,0,"CA Dept of Water Resources, DES",H
OBB,STANISLAUS R AT ORANGE BLOSSOM BRIDGE,STANISLAUS R,STANISLAUS,-120.75,37.783,117,CA Dept of Water Resources,H
OBI,OLD RIVER AT BACON ISLAND (USGS),DELTA,SAN JOAQUIN,-121.571114,37.970001,10,US Geological Survey,H
OCL,ORESTIMBA CK AT RIVER RD NR CROWS LNDG,SAN JOAQUIN R,STANISLAUS,-121.0160446,37.41354752,65,US Geological Survey,H
OLS,KLAMATH RIVER AT ORLEANS,KLAMATH R,HUMBOLDT,-123.5345001,41.30345917,430,USGS and DWR,H
OMR,"OLD & MIDDLE RVRS, TIDALLY FILTERED EST",DELTA,SAN JOAQUIN,-121.5711,37.97,10,CA Dept of Water Resources/O & M,H
ORD,SACRAMENTO R AT ORD FERRY-MAIN CHANNEL,SACRAMENTO R,GLENN,-121.9931793,39.62813187,115,CA Dept of Water Resources,H
ORE,ORESTIMBA CREEK NR NEWMAN,SAN JOAQUIN R,STANISLAUS,-121.125206,37.31549072,0,US Geological Survey,H
ORH,MIDDLE YUBA RIVER BELOW OUR HOUSE DAM,YUBA R,YUBA,-120.997,39.412,1958,Yuba County,H
ORK,REDWOOD CREEK AT ORICK,REDWOOD CR,HUMBOLDT,-124.0511856,41.2992897,36,USGS and DWR,H
OXB,MIDDLE FK AMERICAN R NR OXBOW PH,AMERICAN R,PLACER,-120.76,39.006,1070,Placer County Water Agency,H
P35,PIT RIVER BELOW LAKE BRITTON,PIT R,SHASTA,-121.675692,41.021294,2750,Pacific Gas & Electric,H
PAS,SALINAS RIVER AT PASO ROBLES,SALINAS R,SAN LUIS OBISPO,-120.6843338,35.628582,700,USGS and DWR,H
PDR,MILL CREEK NEAR PIEDRA,KINGS R,FRESNO,-119.3409,36.819,550,US Army Corps of Engineers,H
PR4,PH-30 PIT RIVER BLW PIT NO 4 DAM,PIT R,SHASTA,-121.779,40.975,2360,Pacific Gas & Electric,H
PRB,PH-27 PIT RIVER AT BIG BEND,PIT R,SHASTA,-121.909,41.02,1680,Pacific Gas & Electric,H
RBW,RAINBOW DIVERSION DAM,STONY CR,COLUSA,-122.605,39.371,1297,US Bureau of Reclamation,H
RIP,STANISLAUS RIVER AT RIPON,STANISLAUS R,SAN JOAQUIN,-121.1104965,37.7296524,73,US Geological Survey,H
RUM,CACHE CREEK AT RUMSEY BRIDGE,CACHE CR,YOLO,-122.238,38.89,400,CA Dept of Water Resources,H
S12,MF STANISLAUS R BL SANDBAR DIV DAM,STANISLAUS R,TUOLUMNE,-120.157776,38.183056,2720,Pacific Gas & Electric,H
S52,MF STANISLAUS R AT KENNEDY MEADOWS,STANISLAUS R,TUOLUMNE,-119.74028,38.297501,6326,Pacific Gas & Electric,H
S61,SF STANISLAUS R AT STRAWBERRY,STANISLAUS R,TUOLUMNE,-120.0075,38.197498,5235,Pacific Gas & Electric,H
S83,SF STANISLAUS R NR STRAWBERRY DIV DAM,STANISLAUS R,TUOLUMNE,-120.04583,38.177776,4915,Pacific Gas & Electric,H
SBH,SAN BENITO R AT HWY 156 NEAR HOLLISTER,SAN BENITO R,SAN BENITO,-121.4299393,36.85189819,260,US Geological Survey,H
SCL,SAN JOAQUIN R NR CROWS LANDING,SAN JOAQUIN R,STANISLAUS,-121.0138168,37.43188095,60,US Geological Survey,H
SCO,EEL RIVER AT SCOTIA,EEL R,HUMBOLDT,-124.0997696,40.49152374,160,USGS and DWR,H
SJS,SAN JOAQUIN RIVER NEAR STEVINSON,SAN JOAQUIN R,MERCED,-120.851,37.295,82,CA Dept of Water Resources,H
SSH,SALT SLOUGH AT HWY 165 NR STEVINSON,SAN JOAQUIN R,MERCED,-120.8511,37.2478,75,US Geological Survey,H
STH,NAPA RIVER NEAR ST HELENA,NAPA R,NAPA,-122.4558105,38.51129913,195,US Geological Survey,H
STO,SF TUOLUMNE R NR OAKLAND REC CAMP,TUOLUMNE R,TUOLUMNE,-120.0119,37.8217,2800,City of San Francisco,H
STP,STAMPEDE,TRUCKEE R,SIERRA,-120.103,39.471,5956,US Geological Survey,H
SVC,SILVER CR BLW CAMINO DAM,AMERICAN R,EL DORADO,-120.538,38.824,1863,Sacramento Municipal Utility District,H
THO,THOMES CREEK AT PASKENTA,SACRAMENTO R,TEHAMA,-122.5285645,39.88784027,720,CA Dept of Water Resources,H
TIL,TID CANAL AT LA GRANGE,TUOLUMNE R,STANISLAUS,-120.443,37.672,296,Turlock Irrigation District,H
TIS,SACTO R AT TISDALE WEIR (CREST 45.5'),SACRAMENTO R,SUTTER,-121.8220825,39.02643967,45,CA Dept of Water Resources,H
TRR,KAWEAH RIVER AT THREE RIVERS,KAWEAH R,TULARE,-118.9044,36.4439,833,US Army Corps of Engineers,H
TUM,TUOLUMNE MEADOWS,TUOLUMNE R,TUOLUMNE,-119.35,37.873,8600,CA Dept of Water Resources,H
VIN,SACRAMENTO RIVER AT VINA BRIDGE-MAIN CH,SACRAMENTO R,TEHAMA,-122.0924683,39.90873718,185,CA Dept of Water Resources,H
VNS,SAN JOAQUIN RIVER NEAR VERNALIS,SAN JOAQUIN R,SAN JOAQUIN,-121.2663269,37.67604065,35,USGS and DWR,H
VON,SACRAMENTO RIVER AT VERONA,SACRAMENTO R,SUTTER,-121.5982895,38.7743454,43,USGS and DWR,H
WLK,SACRAMENTO RIVER BELOW WILKINS SLOUGH,SACRAMENTO R,SUTTER,-121.8246918,39.00989532,30,US Geological Survey,H
WSL,WILLOW SLOUGH AT SB WEST BURROW PIT,SACRAMENTO R,SUTTER,-121.6275558,38.91458893,28,CA Dept of Water Resources,H
YPB,YUBA RIVER AT PARKS BAR BRIDGE,YUBA R,YUBA,-121.2817,39.2306,0,CA Dept of Water Resources,H
YRS,YUBA RIVER NEAR SMARTVILLE,YUBA R,YUBA,-121.2741241,39.23517227,280,Pacific Gas & Electric,H
