STA,Station Name,River Basin,County,X_lon,Y_lat,Elev_ft,Operator,snowdep_D_18
ADM,ADIN MOUNTAIN,PIT R,MODOC,-120.792,41.237,6200,Natural Resources Conservation Service,1
AGP,AGNEW PASS,SAN JOAQUIN R,MADERA,-119.143,37.7244,9450,CA Dept of Water Resources,1
BCB,BLACKCAP BASIN,KINGS R,FRESNO,-118.77,37.067,10300,CA Dept of Water Resources/Snow Surveys,1
BCH,BEACH MEADOWS,KERN R,TULARE,-118.293,36.127,7650,CA Dept of Water Resources/Snow Surveys,1
BFL,BIG FLAT,TRINITY R,TRINITY,-122.942,41.08,5100,US Bureau of Reclamation,1
BGP,BIG PINE CREEK,OWENS R,INYO,-118.475,37.128,9800,CA Dept of Water Resources,1
BIM,BIG MEADOWS (DWR),KINGS R,TULARE,-118.842,36.717,7600,CA Dept of Water Resources/Snow Surveys,1
BLA,BLACKS MOUNTAIN,PIT R,LASSEN,-121.198,40.77,7050,CA Dept of Water Resources,1
BLC,BLUE CANYON,AMERICAN R,PLACER,-120.7081,39.2761,5280,US Bureau of Reclamation,1
BLD,BLOODS CREEK,STANISLAUS R,ALPINE,-120.033,38.45,7200,US Bureau of Reclamation,1
BLK,BLUE LAKES,MOKELUMNE R,ALPINE,-119.931,38.613,8000,Natural Resources Conservation Service,1
BLS,BLACK SPRINGS,STANISLAUS R,CALAVERAS,-120.192,38.375,6500,US Bureau of Reclamation,1
BNK,BONANZA KING,TRINITY R,TRINITY,-122.628,41.083,6450,US Bureau of Reclamation,1
BSH,BISHOP PASS,KINGS R,FRESNO,-118.557,37.1,11200,CA Dept of Water Resources/Snow Surveys,1
BSK,BURNSIDE LAKE,CARSON R,ALPINE,-119.8942,38.7194,8129,Natural Resources Conservation Service,1
CAP,CAPLES LAKE,AMERICAN R,ALPINE,-120.042,38.71,8000,US Bureau of Reclamation,1
CBT,CRABTREE MEADOW,KERN R,TULARE,-118.345,36.563,10700,CA Dept of Water Resources/Snow Surveys,1
CHM,CHILKOOT MEADOW,SAN JOAQUIN R,MADERA,-119.49,37.41,7150,US Bureau of Reclamation,1
CHP,CHAGOOPA PLATEAU,KERN R,TULARE,-118.442,36.497,10300,CA Dept of Water Resources/Snow Surveys,1
CRL,CHARLOTTE LAKE,KINGS R,FRESNO,-118.422,36.797,10400,CA Dept of Water Resources/Snow Surveys,1
CSV,CASA VIEJA MEADOWS,KERN R,TULARE,-118.268,36.2,8300,CA Dept of Water Resources/Snow Surveys,1
CWD,COTTONWOOD LAKES,OWENS R,INYO,-118.177,36.483,10150,CA Dept of Water Resources,1
CWF,CROWDER FLAT,KLAMATH R,MODOC,-120.7519,41.8934,5100,Natural Resources Conservation Service,1
CXS,CARSON PASS,AMERICAN R,ALPINE,-120.0021,38.6924,8353,Natural Resources Conservation Service,1
DAN,DANA MEADOWS,TUOLUMNE R,TUOLUMNE,-119.257,37.897,9800,CA Dept of Water Resources,1
DDM,DEADMAN CREEK,STANISLAUS R,TUOLUMNE,-119.6531,38.3319,9250,CA Dept of Water Resources,1
DPO,DEVIL'S POSTPILE,SAN JOAQUIN R,MADERA,-119.0847,37.6294,7569,CA Dept of Water Resources/Snow Surveys,1
EBB,EBBETTS PASS,CARSON R,ALPINE,-119.808,38.561,8700,Natural Resources Conservation Service,1
EP5,ECHO PEAK 5,LAKE TAHOE,EL DORADO,-120.079,38.849,7800,Natural Resources Conservation Service,1
ERY,ELLERY LAKE,MONO LAKE,MONO,-119.233,37.933,9645,CA Dept of Water Resources/Snow Surveys,1
FDC,FORESTDALE CREEK,CARSON R,ALPINE,-119.9597,38.6824,8017,Natural Resources Conservation Service,1
FLL,FALLEN LEAF LAKE,LAKE TAHOE,EL DORADO,-120.056,38.932,6250,Natural Resources Conservation Service,1
FRN,FORNI RIDGE,AMERICAN R,EL DORADO,-120.213,38.805,7600,US Bureau of Reclamation,1
FRW,FAREWELL GAP,KAWEAH R,TULARE,-118.583,36.412,9500,CA Dept of Water Resources/Snow Surveys,1
GIN,GIN FLAT,MERCED R,MARIPOSA,-119.773,37.767,7050,CA Dept of Water Resources,1
GKS,GREEK STORE,AMERICAN R,PLACER,-120.558,39.075,5600,US Bureau of Reclamation,1
GNL,GIANELLI MEADOW,STANISLAUS R,TUOLUMNE,-119.892,38.205,8400,US Bureau of Reclamation,1
GRM,GREEN MOUNTAIN,SAN JOAQUIN R,MADERA,-119.238,37.555,7900,US Bureau of Reclamation,1
GRV,GRAVEYARD MEADOW,SAN JOAQUIN R,MADERA,-119.29,37.465,6900,US Bureau of Reclamation,1
HGM,HAGANS MEADOW,LAKE TAHOE,EL DORADO,-119.94,38.853,8000,Natural Resources Conservation Service,1
HIG,HIGHLAND LAKES,TRINITY R,TRINITY,-122.483,41.093,6030,US Bureau of Reclamation,1
HNT,HUNTINGTON LAKE (USBR),SAN JOAQUIN R,FRESNO,-119.221,37.228,7000,US Bureau of Reclamation,1
HOR,HORSE MEADOW (NRCS),CARSON R,ALPINE,-119.8873,38.8365,8557,Natural Resources Conservation Service,1
HRK,HARKNESS FLAT,FEATHER R,LASSEN,-121.275,40.418,6200,CA Dept of Water Resources/O & M,1
HRS,HORSE MEADOW,TUOLUMNE R,TUOLUMNE,-119.662,38.158,8400,CA Dept of Water Resources,1
HUL,HULL MTN,EEL R,MENDOCINO,-122.94833,39.53333,6461,CA Dept of Water Resources/Flood Management,1
HVN,HEAVENLY VALLEY,LAKE TAHOE,EL DORADO,-119.917,38.929,8800,Natural Resources Conservation Service,1
HYS,HUYSINK,AMERICAN R,PLACER,-120.527,39.282,6600,US Bureau of Reclamation,1
IDC,INDEPENDENCE CAMP,TRUCKEE R,SIERRA,-120.299,39.454,7000,Natural Resources Conservation Service,1
IDP,INDEPENDENCE LAKE (SCS),TRUCKEE R,NEVADA,-120.322,39.435,8450,Natural Resources Conservation Service,1
INN,INDEPENDENCE CREEK,TRUCKEE R,SIERRA,-120.293,39.494,6500,Natural Resources Conservation Service,1
KIB,LOWER KIBBIE RIDGE,TUOLUMNE R,TUOLUMNE,-119.877,38.032,6700,CA Dept of Water Resources,1
KSP,KAISER POINT,SAN JOAQUIN R,FRESNO,-119.1,37.3,9200,US Bureau of Reclamation,1
LLP,LOWER LASSEN PEAK,FEATHER R,SHASTA,-121.507,40.468,8250,"Pacific Gas and Electric Company, Rogers Flat",1
LOS,LAKE LOIS,AMERICAN R,EL DORADO,-120.197,38.925,8600,CA Dept of Water Resources,1
LVM,LEAVITT MEADOWS,WALKER R,MONO,-119.552,38.305,7200,Natural Resources Conservation Service,1
LVT,LEAVITT LAKE,WALKER R,MONO,-119.621,38.282,9600,Natural Resources Conservation Service,1
MB3,MIDDLE BOULDER 3,SCOTT R,SISKIYOU,-122.811,41.225,6200,US Bureau of Reclamation,1
MDW,MEADOW LAKE,YUBA R,NEVADA,-120.508,39.417,7200,CA Dept of Water Resources,1
MED,MEDICINE LAKE,PIT R,SISKIYOU,-121.6131,41.5869,6700,US Bureau of Reclamation,1
MHP,MAMMOTH PASS (USBR),OWENS R,MONO,-119.033,37.61,9300,US Bureau of Reclamation,1
MNT,MONITOR PASS,CARSON R,ALPINE,-119.615,38.67,8350,Natural Resources Conservation Service,1
MRL,MARLETTE LAKE,LAKE TAHOE,State of Nevada,-119.905,39.173,8000,Natural Resources Conservation Service,1
MSK,MOUNT ROSE SKI AREA,LAKE TAHOE,State of Nevada,-119.902,39.326,8900,Natural Resources Conservation Service,1
PDS,PARADISE MEADOW,TUOLUMNE R,TUOLUMNE,-119.67,38.047,7650,CA Dept of Water Resources,1
PET,PETERSON FLAT,TRINITY R,TRINITY,-122.5277,41.3023,7150,US Bureau of Reclamation,1
PSC,PASCOES,KERN R,TULARE,-118.35,35.967,9150,US Army Corps of Engineers,1
PSN,POISON FLAT,CARSON R,ALPINE,-119.631,38.501,7900,Natural Resources Conservation Service,1
PSR,POISON RIDGE,SAN JOAQUIN R,MADERA,-119.52,37.403,6900,US Bureau of Reclamation,1
QUA,QUAKING ASPEN,TULE R,TULARE,-118.544998,36.121666,7200,CA Dept of Water Resources/Snow Surveys,1
RCC,ROBINSON COW CAMP,YUBA R,SIERRA,-120.678,39.623,6480,CA Dept of Water Resources/Snow Surveys,1
RCK,ROCK CREEK LAKES,OWENS R,INYO,-118.7354,37.4578,9700,CA Dept of Water Resources,1
REL,LOWER RELIEF VALLEY,STANISLAUS R,TUOLUMNE,-119.758,38.243,8100,CA Dept of Water Resources,1
RP2,RUBICON PEAK 2,LAKE TAHOE,EL DORADO,-120.14,39.001,7500,Natural Resources Conservation Service,1
SDF,SAND FLAT,SACRAMENTO R,SISKIYOU,-122.2464,41.3504,6750,US Bureau of Reclamation,1
SDW,SUMMIT MEADOW,WALKER R,MONO,-119.5356,38.3975,9313,Natural Resources Conservation Service,1
SHM,SHIMMY LAKE,TRINITY R,TRINITY,-122.8,41.008,6400,US Bureau of Reclamation,1
SIL,SILVER LAKE,AMERICAN R,EL DORADO,-120.118,38.678,7100,US Bureau of Reclamation,1
SLI,SLIDE CANYON,TUOLUMNE R,TUOLUMNE,-119.43,38.092,9200,CA Dept of Water Resources,1
SLK,SOUTH LAKE,OWENS R,INYO,-118.562,37.176,9600,CA Dept of Water Resources/Snow Surveys,1
SLM,STANISLAUS MEADOW,STANISLAUS R,ALPINE,-119.9373,38.5055,7750,US Bureau of Reclamation,1
SLT,SLATE CREEK,SACRAMENTO R,SHASTA,-122.478,41.045,5700,US Bureau of Reclamation,1
SNM,SNOW MOUNTAIN,PIT R,SHASTA,-121.782,40.778,5950,US Bureau of Reclamation,1
SPS,SONORA PASS BRIDGE,WALKER R,MONO,-119.601,38.318,8750,Natural Resources Conservation Service,1
SPT,SPRATT CREEK,CARSON R,ALPINE,-119.818,38.667,6150,Natural Resources Conservation Service,1
SQV,SQUAW VALLEY GOLD COAST,TRUCKEE R,PLACER,-120.276,39.194,8200,Natural Resources Conservation Service,1
STM,STOUTS MEADOW,MC CLOUD R,SHASTA,-121.938,41.17,5400,US Bureau of Reclamation,1
STR,OSTRANDER LAKE,MERCED R,MARIPOSA,-119.55,37.637,8200,CA Dept of Water Resources,1
SWM,SAWMILL,OWENS R,INYO,-118.562,37.162,10200,CA Dept of Water Resources/Snow Surveys,1
TCC,TAHOE CITY CROSS,LAKE TAHOE,PLACER,-120.154,39.172,6750,Natural Resources Conservation Service,1
TES,TIOGA PASS ENTRY STATION,TUOLUMNE R,TUOLUMNE,-119.257,37.911,9945,CA Dept of Water Resources,1
TK2,TRUCKEE 2,TRUCKEE R,PLACER,-120.194,39.3,6400,Natural Resources Conservation Service,1
TMR,TAMARACK SUMMIT,SAN JOAQUIN R,FRESNO,-119.2,37.165,7550,US Bureau of Reclamation,1
TNY,TENAYA LAKE,MERCED R,MARIPOSA,-119.448,37.838,8150,CA Dept of Water Resources,1
TUM,TUOLUMNE MEADOWS,TUOLUMNE R,TUOLUMNE,-119.35,37.873,8600,CA Dept of Water Resources,1
UBC,UPPER BURNT CORRAL,KINGS R,FRESNO,-118.937,37.183,9700,CA Dept of Water Resources/Snow Surveys,1
VLC,VOLCANIC KNOB,SAN JOAQUIN R,FRESNO,-118.903,37.388,10050,US Bureau of Reclamation,1
VRG,VIRGINIA LAKES RIDGE,WALKER R,MONO,-119.234,38.077,9300,Natural Resources Conservation Service,1
WC3,WARD CREEK 3,LAKE TAHOE,PLACER,-120.22,39.137,6750,Natural Resources Conservation Service,1
WHW,WHITE WOLF,TUOLUMNE R,TUOLUMNE,-119.6516,37.8595,7900,National Park Service,1
